   Channel Islands*,61 660,60 519,64 301,70 941,77 581,82 307,84 087,29 005,28 468,30 234,33 611,36 982,39 338,40 190,32 655,32 051,34 067,37 330,40 599,42 969,43 897
   Denmark*,235 189,303 108,371 026,440 383,500 772,595 876,717 574,114 411,147 194,179 977,213 097,242 029,291 431,354 476,120 778,155 914,191 049,227 286,258 743,304 445,363 098
   Estonia,381 997,315 755,249 512,233 701,217 890,194 664,199 277,171 691,136 268,100 844,94 244,87 644,80 024,86 767,210 306,179 487,148 668,139 457,130 246,114 640,112 510
   Faroe Islands*,4 285,2 900,3 593,4 583,5 096,5 485,6 812,2 440,1 575,1 921,2 450,2 700,2 783,3 542,1 845,1 325,1 672,2 133,2 396,2 702,3 270
   Finland*,63 255,99 729,136 203,192 169,228 481,314 856,386 052,31 682,49 575,67 469,96 429,115 105,159 315,198 822,31 573,50 154,68 734,95 740,113 376,155 541,187 230
   Iceland,9 584,12 738,15 892,25 492,35 091,39 072,65 424,4 248,5 727,7 207,12 413,17 619,19 070,35 716,5 336,7 011,8 685,13 079,17 472,20 002,29 708
   Ireland,227 961,226 892,350 552,589 046,730 542,759 256,871 256,112 093,108 084,172 959,309 910,360 440,376 338,434 756,115 868,118 808,177 593,279 136,370 102,382 918,436 500
   Isle of Man*,34 769,36 886,39 002,41 475,43 447,42 238,43 040,16 371,17 548,18 725,20 214,21 361,20 596,20 987,18 398,19 338,20 277,21 261,22 086,21 642,22 053
   Latvia,646 007,538 093,430 178,376 725,313 786,265 418,239 422,290 800,234 216,177 632,154 745,124 675,104 011,97 022,355 207,303 877,252 546,221 980,189 111,161 407,142 400
   Lithuania,349 258,273 587,214 311,201 209,160 772,136 021,145 184,164 585,128 641,100 546,94 189,69 606,57 508,73 148,184 673,144 946,113 765,107 020,91 166,78 513,72 036
   Norway*,192 587,233 302,292 440,361 144,524 601,746 375,852 238,99 562,117 222,144 826,176 444,267 235,389 370,439 206,93 025,116 080,147 614,184 700,257 366,357 005,413 032
   Sweden,788 767,936 022,1 003 798,1 125 790,1 337 214,1 602 522,2 003 908,383 085,450 945,480 211,538 490,648 004,786 870,1 008 006,405 682,485 077,523 587,587 300,689 210,815 652,995 902
   United Kingdom*,3 650 286,4 155 293,4 730 165,5 926 156,7 119 664,8 406 996,9 359 587,1 756 448,1 978 711,2 228 628,2 818 177,3 454 456,4 021 255,4 464 423,1 893 838,2 176 582,2 501 537,3 107 979,3 665 208,4 385 741,4 895 164
   Albania,66 013,71 354,76 695,64 739,52 784,52 031,48 810,30 579,33 284,35 990,32 993,26 901,26 517,24 908,35 434,38 070,40 705,31 746,25 883,25 514,23 902
   Andorra,38 891,44 206,42 147,50 298,52 053,42 264,45 574,20 990,23 588,22 093,26 466,27 287,21 485,23 333,17 901,20 618,20 054,23 832,24 766,20 779,22 241
   Bosnia and Herzegovina,56 000,69 476,82 952,47 287,38 945,38 597,36 042,26 538,33 115,39 691,22 481,18 581,18 412,16 880,29 462,36 361,43 261,24 806,20 364,20 185,19 162
   Croatia,475 438,674 085,585 298,579 273,573 248,561 093,528 056,222 531,315 733,274 823,271 645,268 466,260 473,245 564,252 907,358 352,310 475,307 628,304 782,300 620,282 492
   Gibraltar*,8 709,8 381,8 054,9 211,10 369,11 065,11 190,4 528,4 196,3 865,4 518,5 171,5 591,5 656,4 181,4 185,4 189,4 693,5 198,5 474,5 534
   Greece,618 139,857 850,1 111 665,1 190 707,1 321 149,1 242 924,1 340 456,330 038,445 004,559 794,587 677,640 731,570 529,642 639,288 101,412 846,551 871,603 030,680 418,672 395,697 817
   Holy See*,762,778,790,798,783,790,809,376,379,379,381,375,376,372,386,399,411,417,408,414,437
   Italy,1 428 219,1 774 954,2 121 688,3 954 790,5 787 893,5 805 328,6 386 998,642 414,809 553,976 691,1 820 290,2 663 889,2 637 798,2 965 914,785 805,965 401,1 144 997,2 134 500,3 124 004,3 167 530,3 421 084
   Malta,15 077,17 740,21 521,24 560,33 008,52 642,114 760,7 012,8 366,10 289,11 899,17 118,28 332,66 055,8 065,9 374,11 232,12 661,15 890,24 310,48 705
   Montenegro,..,..,..,..,78 512,71 719,70 999,..,..,..,..,31 639,28 178,27 995,..,..,..,..,46 873,43 541,43 004
   North Macedonia,95 142,109 343,125 665,127 667,129 701,130 730,131 311,39 661,45 581,52 385,53 220,54 067,54 496,54 740,55 481,63 762,73 280,74 447,75 634,76 234,76 571
   Portugal,435 782,532 822,651 472,771 184,762 825,864 814,1 001 963,209 922,259 337,320 319,376 774,371 536,398 390,479 936,225 860,273 485,331 153,394 410,391 289,466 424,522 027
   San Marino,3 310,3 659,4 045,4 218,4 880,5 195,5 543,1 728,1 940,2 175,2 302,2 761,2 867,2 991,1 582,1 719,1 870,1 916,2 119,2 328,2 552
